Issue,Median_rank,Final_rank
Rising great power tensions as a catalyst for catastrophic and existential technological threats,24.75,1.0
Risk Accelerator: Integration of AI in Nuclear Weapons Systems,25.5,2.0
Cracks in the foundation: critical transitions in degrading soil pose civilizational risks,25.75,3.0
Supercharged Surveillance States,28.5,4.0
Global Food Security,28.75,5.0
Cascading loss of food system complexity causing mass starvation,30.5,6.0
Climate tipping point interactions substantially worsen climate impacts,31.25,7.0
Status-Quo Path-Dependence by Elites,31.5,8.0
Deteriorating quality of the governance of nuclear weapon states ,32.75,9.5
The risk of sudden massive crop losses,32.75,9.5
Civilizational Risk: Nuclear Famine,33.25,11.0
AI and arms use; in bioengineering or arms races,33.5,12.0
The risk of nuclear war is probably increasing due to several trends,34.25,13.0
Collapse of trade networks due to destruction of key hubs and/or cascading food export bans,34.5,14.5
"Increasing automation of economy and industry results in ever greater efficiencies, but drive the global economy and digital system closer to a tipping point of sociotechnical fragility, that can be triggered by small shocks",34.5,14.5
Nuclear Risks,35.0,16.5
Accelerated development and deployment of AWS without adequate oversight,35.0,16.5
"Large-scale heat stress impacts on humans, subsistence, and industry in the tropics",35.25,18.5
"Crisis, gridlock, and accelerating fragility",35.25,18.5
Erosion of Social Cohesion,35.5,20.0
Uncontrolled and unregulated use of Artificial Intelligence,35.75,21.0
"Automation, simplification, and collapse",36.0,22.0
Antimicrobial Resistance (AMR),36.5,23.0
Interactions of global catastrophic risks with each other and systemic risk in general,36.75,24.0
Recovery of global communication systems from long-term downtime,37.0,25.0
A Tipping Point in Novel Entities,37.5,26.5
Unclear future of the ocean carbon sink and heat uptake,37.5,26.5
Political radicalisation and polarization driven by ecological destabilisation and mitigation policies that disregard equity,37.75,28.0
Collapse of “truth”,38.0,29.5
Displacement driven by ecological destabilisation and lack of managed relocation policies,38.0,29.5
Cascading Negative Social Tipping Dynamics driven by ecological destabilisation,38.5,31.0
Extreme positive feedback on global through stratocumulus cloud break up is not reversible through solar geoengineering,39.0,32.0
Global governance failures,39.5,33.0
"Hot War in Europe, Middle East and Far East cascading into a Nuclear War",39.75,34.0
Geoengineering to prevent climate tipping points increases tail risk of termination shock,40.5,36.0
Supply Chains,40.5,36.0
Populism and Nationalism in the Geopolitical climate,40.5,36.0
"ICT infrastructure failures, supply chains, and food security",41.5,38.5
A New Limits to Growth: Overacceleration due to AI,41.5,38.5
Climate Change and national/global security,42.25,40.0
Resource scarcity leading to interstate conflict ,42.5,41.0
Near-term worst case climate conditions leading to widespread crop failure,42.75,42.0
Emerging technologies and geopolitical instability,43.75,43.5
A crisis in sensemaking,43.75,43.5
Locked in climate tipping point impacts undermines capacity for climate action: ice sheet collapse and sea level rise,44.0,45.0
Unilateral Deployment of Solar Radiation Management,44.25,46.0
Loss of primary productivity,46.0,47.5
Artificial Intelligence and Truth Decay,46.0,47.5
The weakening of the AMOC,46.25,49.0
Can degrading soil microbiome cause regime shifts in soils?,47.0,50.0
Adverse Trends in Information Pollution and Risk of Conflict,47.5,51.0
Locked in climate tipping point impacts undermines capacity for climate action: Atlantic convection collapse and weather pattern disruption,47.75,52.0
Societal Tipping points as the main mechanism for societal collapse,48.5,53.0
The expectation of solar radiation management destroys decarbonisation incentives,49.0,54.0
Use of inadequate tools for climate risk assessment and adaptation,51.0,55.5
Collapse of economic growth,51.0,55.5
State Capacity Deficits,51.5,57.0
Combination of natural and technological disasters,52.0,58.5
Rapid West Antarctic ice sheet collapse + meltwater pulse,52.0,58.5
Water scarcity after trade stops,52.25,60.0
Geoengineering wars,53.25,61.0
Poverty-conflict-environmental degradation tipping points,54.0,62.5
Labour displacement from artificial intelligence,54.0,62.5
Anomie (Social Disintegration) driven by ecological destabilisation and response failure,54.5,64.5
Adverse Trends of Growing Social Divisions Within Societies,54.5,64.5
Populism and nationalistic leadership,55.5,66.0
Collapse of the Reinsurance Industry,56.0,67.0
Violation of international law and treaties can contribute to global catastrophic risks,56.5,68.5
Catastrophic Impacts from Satellite Megaconstellations,56.5,68.5
Model-based decision-making undermines information literacy and democracy,57.0,70.0
Loss of knowledge through automatization,57.5,71.0
"It is increasingly clear that adaptation has limits that also depend on our success to mitigate, to develop sustainably and transform",58.5,72.0
A trend towards ‘high-tech’ international law results in differential strengthening and erosion of the governance system,59.0,73.0
The favorable potential of genomic sequencing of aircraft wastewater for early pandemic detection,60.25,74.0
Change to a superrotating state of the atmosphere,61.5,75.0
Manipulation of human brains by biotechnical implants,63.0,76.0
Firestorms cool the climate and create global famine,63.25,77.0
Kessler syndrome in low earth orbit disrupts communication and spacefaring technology,65.5,78.0
Planetary scale resource degradation,67.0,79.0
Automatization,69.0,80.0
A crisis in mental health,69.75,81.0
Psychographics (Dual Characteristics),70.25,82.5
"Scientific knowledge begins to collapse, leading to societal collapse",70.25,82.5
Sand war: The increasing demand and depletion of sand threatening environment and societies,70.5,84.5
Break down of ecosystems and desertification,70.5,84.5
Favorable trend: Growing appreciation that island nations could be refuges for human survival after global catastrophes ,70.75,86.0
In over our heads,74.75,87.0
Abandonment of the internet in the face of a wave of persuasive social AI systems,76.0,88.0
Breakdown in Global Trade,77.0,89.5
The meta-tipping point in scientific research,77.0,89.5
Erosion of Democracy,80.5,91.0
Unmanaged concrete structures destroying civilizations,82.5,92.0
A new economic system starts in China,85.0,93.0
The end of the city,86.5,94.0
Our choices under run-away risks will inevitably create winners and losers,87.0,95.0
"With a nuclear war, new species / pandemics emerge",93.0,96.0
