,Issue,Neglected_perc_YES,Heard_of_perc_YES
0,"Crisis, gridlock, and accelerating fragility",78.57142857142857,82.14285714285714
1,A crisis in sensemaking,67.85714285714286,85.71428571428571
2,Adverse Trends of Growing Social Divisions Within Societies,39.285714285714285,100.0
3,A crisis in mental health,57.14285714285714,92.85714285714286
4,Geoengineering wars,71.42857142857143,67.85714285714286
5,The expectation of solar radiation management destroys decarbonisation incentives,64.28571428571429,75.0
6,Manipulation of human brains by biotechnical implants,75.0,60.71428571428571
7,Collapse of the Reinsurance Industry,64.28571428571429,64.28571428571429
8,Change to a superrotating state of the atmosphere,85.71428571428571,10.714285714285714
9,Our choices under run-away risks will inevitably create winners and losers,50.0,89.28571428571429
10,Status-Quo Path-Dependence by Elites,75.0,82.14285714285714
11,Artificial Intelligence and Truth Decay,53.57142857142857,92.85714285714286
12,Unmanaged concrete structures destroying civilizations,67.85714285714286,14.285714285714285
13,"Scientific knowledge begins to collapse, leading to societal collapse",60.71428571428571,75.0
14,Antimicrobial Resistance (AMR),46.42857142857143,92.85714285714286
15,Supply Chains,46.42857142857143,89.28571428571429
16,Model-based decision-making undermines information literacy and democracy,64.28571428571429,71.42857142857143
17,Interactions of global catastrophic risks with each other and systemic risk in general,78.57142857142857,96.42857142857143
18,Global Food Security,57.14285714285714,100.0
19,Catastrophic Impacts from Satellite Megaconstellations,89.28571428571429,17.857142857142858
20,Collapse of economic growth,53.57142857142857,92.85714285714286
21,Break down of ecosystems and desertification,60.71428571428571,82.14285714285714
22,"Automation, simplification, and collapse",78.57142857142857,75.0
23,The risk of sudden massive crop losses,71.42857142857143,96.42857142857143
24,Combination of natural and technological disasters,57.14285714285714,85.71428571428571
25,The end of the city,60.71428571428571,28.57142857142857
26,Collapse of trade networks due to destruction of key hubs and/or cascading food export bans,78.57142857142857,96.42857142857143
27,Erosion of Social Cohesion,53.57142857142857,100.0
28,Firestorms cool the climate and create global famine,75.0,53.57142857142857
29,A trend towards ‘high-tech’ international law results in differential strengthening and erosion of the governance system,78.57142857142857,57.14285714285714
30,A Tipping Point in Novel Entities,82.14285714285714,64.28571428571429
31,Locked in climate tipping point impacts undermines capacity for climate action: ice sheet collapse and sea level rise,42.857142857142854,100.0
32,Civilizational Risk: Nuclear Famine,50.0,92.85714285714286
33,"It is increasingly clear that adaptation has limits that also depend on our success to mitigate, to develop sustainably and transform",42.857142857142854,89.28571428571429
34,Adverse Trends in Information Pollution and Risk of Conflict,32.142857142857146,100.0
35,Political radicalisation and polarization driven by ecological destabilisation and mitigation policies that disregard equity,57.14285714285714,89.28571428571429
36,Abandonment of the internet in the face of a wave of persuasive social AI systems,75.0,28.57142857142857
37,Global governance failures,60.71428571428571,100.0
38,Anomie (Social Disintegration) driven by ecological destabilisation and response failure,82.14285714285714,67.85714285714286
39,In over our heads,71.42857142857143,39.285714285714285
40,Unclear future of the ocean carbon sink and heat uptake,60.71428571428571,67.85714285714286
41,"Large-scale heat stress impacts on humans, subsistence, and industry in the tropics",78.57142857142857,85.71428571428571
42,The weakening of the AMOC,50.0,85.71428571428571
43,Populism and nationalistic leadership,17.857142857142858,100.0
44,Collapse of “truth”,50.0,96.42857142857143
