Issue,Issue_cat,Mean_score,Median_rank,Final_rank,Ajay Gambhir,Rank_0,Christian Folberth,Rank_1,Constantin Arnscheidt,Rank_2,Daniel Hoyer,Rank_3,David Manheim,Rank_4,Divya Pandey,Rank_5,Emad Kiyaei,Rank_6,Florian Ulrich Jehn,Rank_7,Hiromi Yamashita,Rank_8,Katie Heikkinen,Rank_9,Kolfinna Tomasdottir,Rank_10,Luke Kemp,Rank_11,Mark Workman,Rank_12,Matt Boyd,Rank_13,Matthijs Maas,Rank_14,Michael Hinge,Rank_15,Nick Wilson,Rank_16,Nico Wunderling,Rank_17,Ortwin Renn,Rank_18,Pat Keys,Rank_19,Paul Larcey,Rank_20,Roger Cremades,Rank_21,Steven Lade,Rank_22,Tom Hobson,Rank_23,Tom Pegram,Rank_24,Victor Galaz,Rank_25,Viktoria Spaiser,Rank_26,Saskia Werners,Rank_27
Risk Accelerator: Integration of AI in Nuclear Weapons Systems,Nuclear Weapons,633.5035714,25.5,1,650,41,890,11,396,33,387,60,500.1,61,500,63.5,900,2,754,12,301,51.5,512,47,926,6,787,19,651,15,400,44,702,7,120,54,555,14,526,32,200,82.5,475,64,900,11,888,19,877,15,819,4,912,8,800,2.5,812,33,598,49
Cracks in the foundation: critical transitions in degrading soil pose civilizational risks merged with can degrading soil microbiome cause regime shifts in soils?,Climate Environment & Ecology,611.1071429,25.75,2,855,11,244,84,280,71,723,31.5,910,8,850,2,893,9,499,52,501,13,155,80,888,29,666,28,624,17,259,56,390,53,80,69.5,135,49.5,688,15,670,39,798,8,600,65.5,850,23.5,902,8,809,10,825,21.5,710,4,973,4,334,85
Supercharged Surveillance States merged with psychographics,Government & Politics,572.3571429,28.5,3,730,27,886,13,650,5,567,45.5,673,39.5,366,89,323,75,663,25,310,46,757,24,935,2,899,3,462,64,234,58,430,47.5,270,16,470,20,288,65,400,63,715,15,880,22.5,931,15,39,92,765,27,535,55,570,22.5,862,30,416,78
Cascading loss of food system complexity causing mass starvation merged with nearterm worst case climate conditions leading to widespread crop failure,Food Security,608.2535714,30.5,4,942,3,834,29,450,18,889,18,734.1,33,387,87.5,575,39,743,16.5,355,38.5,222,68,803,43,400,50,609,20,433,39,458,41,400,7.5,400,22,749,5,800,23,701,21.5,720,45.5,498,60,620,46,740,32,775,26,580,20,879,25,335,84
Status-Quo Path-Dependence by Elites merged with Erosion of Social Cohesion,Society,600.4642857,31.5,5,400,71,867,20.5,453,17,874,23,770,28,599,49,420,63,748,15,188,82,165,78,745,50,920,1,300,89.5,850,1,677,13.5,120,54,280,27,709,10,400,63,895,2,790,34,500,57,760,29,720,36,499,59.5,580,20,798,35,786,11
Deteriorating quality of the governance of nuclear weapon states,Government & Politics,615.2392857,32.75,6,801,15,637,55,310,66,201,73,777.7,26,770,12,895,7,907,1,210,76,608,40,660,70,200,79,358,79,673,12,676,15,300,13.5,800,2,634,17.5,500,54,550,48,880,22.5,689,44,910,6,708,39.5,940,3,700,7.5,430,75.5,502,62.5
The risk of sudden massive crop losses due to biosecurity risks.,Biosecurity,589.8214286,32.75,6,747,25,892,10,360,50,608,41,400,72,800,6,505,49,643,30,286,60,328,62,831,39,472,42,615,19,550,26,711,5,240,19,195,39,753,1,450,59,349,76,890,16,777,32.5,639,43,738,33,800,25,350,54,877,26,709,24
AI and arms use; in bioengineering or arms races,Biosecurity,596.9642857,33.5,8,871,9.5,905,4,460,14,444,55,899,11,500,63.5,810,14,561,44.5,300,53.5,440,53,909,20,504,40,475,61,600,18,680,12,350,10.5,650,6.5,207,76,620,47,707,19,900,11,723,37,70,86,708,39.5,905,11,540,30,478,68.5,499,66
Collapse of trade networks due to destruction of key hubs and/or cascading food export bans,Food Security,581.5,34.5,9,945,2,828,31,394,35,167,75,112,91,769,14,880,13,901,2,234,69,330,60,641,74,501,41,497,54,491,34,474,39,250,17.5,450,21,750,4,400,63,661,28,890,16,650,49,822,19,531,56,665,38,400,48.5,943,9,706,27
"Increasing automation of economy and industry results in ever greater efficiencies, but drive the global economy and digital system closer to a tipping point of sociotechnical fragility, that can be triggered by small shocks, merged with automation, simplification, and collapse",Systemic Risk,580.7857143,34.5,9,588,49,882,14,458,15,788,26.5,962,1,675,31,395,66,689,23,533,10,206,70,736,51,848,12,288,91,481,36,699,9,190,33,200,37.5,600,24,850,16,649,31,650,57,380,66.5,740,33,660,44,644,46,270,64.5,721,49,480,72
Accelerated development and deployment of AWS without adequate oversight,War & Security,585.4642857,35,11,910,6,821,34,398,31,189,74,677,38,550,58.5,570,40,659,26,300,53.5,581,44,913,17,807,13.5,657,13,700,8,421,49,160,40.5,80,67.5,540,29,400,63,799,6.5,900,11,230,76,807,20,717,38,910,10,467,36,876,27.5,354,82
"Crisis, gridlock, and accelerating fragility",Government & Politics,633.2178571,35.25,12,679,36,931,1,391,38,578,43,570.1,55,711,19,690,21,587,39,287,59,891,12,785,46,650,30,402,74.5,755,5,288,67,200,28.5,570,12,251,71,850,16,641,32,880,22.5,650,49,707,34.5,540,54,640,47,900,1,756,45,950,1
