Issue,Issue_cat,Mean_score,Median_rank,Final_rank,Florian Ulrich Jehn,rank,Nico Wunderling,rank,Mark Workman,rank,David McKay,rank,Roger Cremades,rank,Hiromi Yamashita,rank,Viktoria Spaiser,rank,Tom Pegram,rank,Michael Hinge,rank,Emad Kiyaei,rank,Luke Kemp,rank,Christian Folberth,rank,Constantin Arnscheidt,rank,Divya Pandey,rank,Kolfinna Tomasdottir,rank,Ajay Gambhir,rank,Saskia Werners,rank,Paul Larcey,rank
Risk Accelerator: Integration of AI in Nuclear Weapons Systems,Nuclear Weapons,801.1111111,3,1,851,10,675,3,820,3,210,23,900,5,800,3,660,14,950,1,580,7,990,1,878,6,920,1,900,1,900,1,1000,1,812,4,664,18,910,1
State Capacity Deficits,Government & Politics,638.6666667,8,2,942,3,615,7,920,1,510,8,670,9,811,2,335,27,420,35,1,37,722,3,299,26,289,28,520,10,878,3,855,8,900,2,946,3,863,9
Cascading loss of food system complexity causing mass starvation merged with nearterm worst case climate conditions leading to widespread crop failure,Food Security,707.6111111,8.5,3,950,1,850,2,520,22,630,4,600,12,580,15,880,2,601,20,800,1,580,12,429,20,610,13,695,5,758,5,800,11,765,5,809,11,880,6
Displacement driven by ecological destabilisation and lack of managed relocation policies merged with Cascading Negative Social Tipping Dynamics driven by ecological destabilisation,Society,664.4444444,10,4,734,16,549,9,780,10,675,3,621,10,702,6,810,4,710,12,96,34,665,7,382,22,812,3,705,3,650,11,765,13,634,12,815,10,855,10
Unclear future of the ocean carbon sink and heat uptake,Climate Environment & Ecology,647.0555556,10.5,5,823,11,625,6,600,19,80,35,870,6,749,5,840,3,890,3,259,20,610,10,699,14,713,7,295,30,500,19,885,5,756,7,675,17,778,20
A crisis in sensemaking,Epistemics,574.5,11,6,801,13,525,10,770,11,180,25,80,29,622,11,760,8,820,8,181,25,695,4,10,36,523,18,675,6,652,10,723,15,653,10,903,4,768,21
Supercharged Surveillance States merged with psychographics,Government & Politics,652.5555556,11.5,7,870,7,375,15,720,12,300,18,800,7,900,1,420,25,650,18,600,6,600,11,911,4,430,21,640,7,700,8,990,2,304,28,746,13,790,14
AI and arms use; in bioengineering or arms races,Biosecurity,672.3333333,12,8,706,18,375,15,620,16,140,30,997,3,350,25,690,12,880,4,350,15,730,2,666,16,610,13,605,9,750,6,880,6,971,1,952,2,830,12
Artificial Intelligence and Truth Decay merged with Collapse of Truth,Epistemics,611.2222222,12,8,805,12,670,4,680,14,200,24,935,4,798,4,330,28,821,7,362,14,695,4,11,34,396,23,700,4,777,4,785,12,477,18,861,6,699,26
Catastrophic impacts from satellite megaconstellations merged with Kessler syndrome in low earth orbit disrupts communication and spacefaring technology,Space,594.3888889,12,8,889,6,320,20,888,2,440,10,1,33,700,7,790,5,665,17,800,1,440,20,977,1,660,10,500,14,250,36,520,25,313,27,658,19,888,4
