,Issue,Issue_cat,Mean_score,Median_rank,Final_rank,492e4b,Rank_0,22338c,Rank_1,9f1eb6,Rank_2,04545f,Rank_3,6d4470,Rank_4,ed22ef,Rank_5,540a7a,Rank_6,708920,Rank_7,9a2d12,Rank_8,cdefc7,Rank_9,d9bf00,Rank_10,3ee680,Rank_11,e5ed2f,Rank_12,029745,Rank_13,b59cd1,Rank_14,3bf1fb,Rank_15,04c88f,Rank_16,e96af1,Rank_17,4f4fcd,Rank_18,53465a,Rank_19,3b7706,Rank_20,874d58,Rank_21,fb235a,Rank_22,79bd39,Rank_23,d2282d,Rank_24,7b9161,Rank_25,fbb58e,Rank_26,2a8c4a,Rank_27
0,Risk Accelerator: Integration of AI in Nuclear Weapons Systems,Nuclear Weapons,633.5035714,25.5,1,650,41.0,890,11.0,396,33,387,60.0,500.1,61.0,500,63.5,900,2.0,754,12.0,301,51.5,512,47,926,6,787,19.0,651,15.0,400,44.0,702,7.0,120,54.0,555,14.0,526,32.0,200,82.5,475,64.0,900,11.0,888,19.0,877,15.0,819,4.0,912,8.0,800,2.5,812,33.0,598,49.0
1,Cracks in the foundation: critical transitions in degrading soil pose civilizational risks merged with can degrading soil microbiome cause regime shifts in soils?,Climate Environment & Ecology,611.1071429,25.75,2,855,11.0,244,84.0,280,71,723,31.5,910.0,8.0,850,2.0,893,9.0,499,52.0,501,13.0,155,80,888,29,666,28.0,624,17.0,259,56.0,390,53.0,80,69.5,135,49.5,688,15.0,670,39.0,798,8.0,600,65.5,850,23.5,902,8.0,809,10.0,825,21.5,710,4.0,973,4.0,334,85.0
2,Supercharged Surveillance States merged with psychographics,Government & Politics,572.3571429,28.5,3,730,27.0,886,13.0,650,5,567,45.5,673.0,39.5,366,89.0,323,75.0,663,25.0,310,46.0,757,24,935,2,899,3.0,462,64.0,234,58.0,430,47.5,270,16.0,470,20.0,288,65.0,400,63.0,715,15.0,880,22.5,931,15.0,39,92.0,765,27.0,535,55.0,570,22.5,862,30.0,416,78.0
3,Cascading loss of food system complexity causing mass starvation merged with nearterm worst case climate conditions leading to widespread crop failure,Food Security,608.2535714,30.5,4,942,3.0,834,29.0,450,18,889,18.0,734.1,33.0,387,87.5,575,39.0,743,16.5,355,38.5,222,68,803,43,400,50.0,609,20.0,433,39.0,458,41.0,400,7.5,400,22.0,749,5.0,800,23.0,701,21.5,720,45.5,498,60.0,620,46.0,740,32.0,775,26.0,580,20.0,879,25.0,335,84.0
4,Status-Quo Path-Dependence by Elites merged with Erosion of Social Cohesion,Society,600.4642857,31.5,5,400,71.0,867,20.5,453,17,874,23.0,770.0,28.0,599,49.0,420,63.0,748,15.0,188,82.0,165,78,745,50,920,1.0,300,89.5,850,1.0,677,13.5,120,54.0,280,27.0,709,10.0,400,63.0,895,2.0,790,34.0,500,57.0,760,29.0,720,36.0,499,59.5,580,20.0,798,35.0,786,11.0
5,Deteriorating quality of the governance of nuclear weapon states,Government & Politics,615.2392857,32.75,6,801,15.0,637,55.0,310,66,201,73.0,777.7,26.0,770,12.0,895,7.0,907,1.0,210,76.0,608,40,660,70,200,79.0,358,79.0,673,12.0,676,15.0,300,13.5,800,2.0,634,17.5,500,54.0,550,48.0,880,22.5,689,44.0,910,6.0,708,39.5,940,3.0,700,7.5,430,75.5,502,62.5
6,The risk of sudden massive crop losses due to biosecurity risks.,Biosecurity,589.8214286,32.75,6,747,25.0,892,10.0,360,50,608,41.0,400.0,72.0,800,6.0,505,49.0,643,30.0,286,60.0,328,62,831,39,472,42.0,615,19.0,550,26.0,711,5.0,240,19.0,195,39.0,753,1.0,450,59.0,349,76.0,890,16.0,777,32.5,639,43.0,738,33.0,800,25.0,350,54.0,877,26.0,709,24.0
7,AI and arms use; in bioengineering or arms races,Biosecurity,596.9642857,33.5,8,871,9.5,905,4.0,460,14,444,55.0,899.0,11.0,500,63.5,810,14.0,561,44.5,300,53.5,440,53,909,20,504,40.0,475,61.0,600,18.0,680,12.0,350,10.5,650,6.5,207,76.0,620,47.0,707,19.0,900,11.0,723,37.0,70,86.0,708,39.5,905,11.0,540,30.0,478,68.5,499,66.0
8,Collapse of trade networks due to destruction of key hubs and/or cascading food export bans,Food Security,581.5,34.5,9,945,2.0,828,31.0,394,35,167,75.0,112.0,91.0,769,14.0,880,13.0,901,2.0,234,69.0,330,60,641,74,501,41.0,497,54.0,491,34.0,474,39.0,250,17.5,450,21.0,750,4.0,400,63.0,661,28.0,890,16.0,650,49.0,822,19.0,531,56.0,665,38.0,400,48.5,943,9.0,706,27.0
9,"Increasing automation of economy and industry results in ever greater efficiencies, but drive the global economy and digital system closer to a tipping point of sociotechnical fragility, that can be triggered by small shocks, merged with automation, simplification, and collapse",Systemic Risk,580.7857143,34.5,9,588,49.0,882,14.0,458,15,788,26.5,962.0,1.0,675,31.0,395,66.0,689,23.0,533,10.0,206,70,736,51,848,12.0,288,91.0,481,36.0,699,9.0,190,33.0,200,37.5,600,24.0,850,16.0,649,31.0,650,57.0,380,66.5,740,33.0,660,44.0,644,46.0,270,64.5,721,49.0,480,72.0
10,Accelerated development and deployment of AWS without adequate oversight,War & Security,585.4642857,35.0,11,910,6.0,821,34.0,398,31,189,74.0,677.0,38.0,550,58.5,570,40.0,659,26.0,300,53.5,581,44,913,17,807,13.5,657,13.0,700,8.0,421,49.0,160,40.5,80,67.5,540,29.0,400,63.0,799,6.5,900,11.0,230,76.0,807,20.0,717,38.0,910,10.0,467,36.0,876,27.5,354,82.0
11,"Crisis, gridlock, and accelerating fragility",Government & Politics,633.2178571,35.25,12,679,36.0,931,1.0,391,38,578,43.0,570.1,55.0,711,19.0,690,21.0,587,39.0,287,59.0,891,12,785,46,650,30.0,402,74.5,755,5.0,288,67.0,200,28.5,570,12.0,251,71.0,850,16.0,641,32.0,880,22.5,650,49.0,707,34.5,540,54.0,640,47.0,900,1.0,756,45.0,950,1.0
12,"Large-scale heat stress impacts on humans, subsistence, and industry in the tropics",Climate Environment & Ecology,615.8214286,35.25,12,587,50.0,671,52.5,640,6,934,7.0,375.0,73.0,660,37.5,615,33.0,749,14.0,432,23.0,786,21,680,69,651,29.0,457,66.0,455,38.0,555,26.5,100,63.5,120,55.5,734,7.0,900,5.5,378,71.5,550,69.5,800,28.5,946,1.0,780,21.0,895,15.0,428,45.0,760,43.5,605,42.0
13,Interactions of global catastrophic risks with each other and systemic risk in general,Systemic Risk,579.9285714,36.75,14,644,43.0,874,18.0,347,57,978,2.0,500.0,62.0,767,15.0,896,6.0,888,3.0,167,85.0,162,79,900,24,611,34.0,521,43.0,412,41.0,550,30.0,220,22.5,140,48.0,344,62.0,800,23.0,520,51.0,970,5.0,993,6.5,449,57.0,390,76.0,675,36.0,4,88.5,786,37.5,730,18.0
14,Recovery of global communication systems from long-term downtime,Systemic Risk,550.4642857,37.0,15,700,30.0,867,20.5,389,40,88,80.0,700.0,37.0,554,56.0,325,74.0,788,8.5,120,90.0,466,52,628,77,537,37.0,572,31.5,598,19.0,307,65.0,130,49.0,125,52.5,637,16.0,950,1.0,750,10.5,880,22.5,180,78.0,939,2.0,550,52.0,680,35.0,670,13.0,897,18.0,386,81.0
15,A Tipping Point in Novel Entities,Climate Environment & Ecology,532.9642857,37.5,16,342,79.0,578,60.0,426,21,602,42.0,583.0,52.5,454,72.5,550,43.0,729,20.0,502,12.0,509,49,548,92,911,2.0,420,70.5,166,65.0,703,6.0,200,28.5,250,33.0,291,64.0,750,30.5,180,86.0,450,79.5,59,83.0,899,10.0,760,28.0,925,7.0,540,30.0,896,19.5,700,32.5
16,Unclear future of the ocean carbon sink and heat uptake,Climate Environment & Ecology,617.2142857,37.5,16,649,42.0,847,26.0,120,88,890,16.5,373.0,74.0,600,47.0,898,4.0,554,49.0,822,2.0,692,31,851,35,253,70.0,669,12.0,347,50.0,470,40.0,450,5.5,125,52.5,634,17.5,650,43.0,900,1.0,540,71.5,700,40.0,333,64.0,801,13.0,880,16.0,700,7.5,920,14.5,614,41.0
17,Political radicalisation & polarisation driven by ecological destabilisation and mitigation policies that disregard equity,Society,555.7142857,37.75,18,745,26.0,756,45.0,325,62,927,9.0,128.0,90.0,660,37.5,610,34.0,803,7.0,291,56.0,965,4,834,38,336,55.0,312,85.5,461,37.0,189,74.0,30,87.0,310,24.0,294,63.0,920,2.0,720,14.0,500,74.5,650,49.0,329,65.0,745,31.0,500,57.5,600,17.5,970,5.0,650,35.5
