,Issue,Median_rank,Final_rank,Neglected_perc_YES,Heard_of_perc_YES
0,Rising great power tensions as a catalyst for catastrophic and existential technological threats,24.75,1,35.7142857142857,92.8571428571429
1,Risk Accelerator: Integration of AI in Nuclear Weapons Systems,25.5,2,75,78.5714285714286
2,Cracks in the foundation: critical transitions in degrading soil pose civilizational risks,25.75,3,82.1428571428571,82.1428571428571
3,Supercharged Surveillance States,28.5,4,64.2857142857143,89.2857142857143
4,Global Food Security,28.75,5,57.1428571428571,100
5,Cascading loss of food system complexity causing mass starvation,30.5,6,75,96.4285714285714
6,Climate tipping point interactions substantially worsen climate impacts,31.25,7,53.5714285714286,100
7,Status-Quo Path-Dependence by Elites,31.5,8,75,82.1428571428571
8,Deteriorating quality of the governance of nuclear weapon states ,32.75,9.5,60.7142857142857,82.1428571428571
9,The risk of sudden massive crop losses,32.75,9.5,71.4285714285714,96.4285714285714
10,Civilizational Risk: Nuclear Famine,33.25,11,50,92.8571428571429
11,AI and arms use; in bioengineering or arms races,33.5,12,82.1428571428571,82.1428571428571
12,The risk of nuclear war is probably increasing due to several trends,34.25,13,42.8571428571429,100
13,Collapse of trade networks due to destruction of key hubs and/or cascading food export bans,34.5,14.5,78.5714285714286,96.4285714285714
14,"Increasing automation of economy and industry results in ever greater efficiencies, but drive the global economy and digital system closer to a tipping point of sociotechnical fragility, that can be triggered by small shocks",34.5,14.5,78.5714285714286,82.1428571428571
15,Nuclear Risks,35,16.5,32.1428571428571,100
16,Accelerated development and deployment of AWS without adequate oversight,35,16.5,71.4285714285714,85.7142857142857
17,"Large-scale heat stress impacts on humans, subsistence, and industry in the tropics",35.25,18.5,78.5714285714286,85.7142857142857
18,"Crisis, gridlock, and accelerating fragility",35.25,18.5,78.5714285714286,82.1428571428571
19,Erosion of Social Cohesion,35.5,20,53.5714285714286,100
20,Uncontrolled and unregulated use of Artificial Intelligence,35.75,21,39.2857142857143,100
21,"Automation, simplification, and collapse",36,22,78.5714285714286,75
22,Antimicrobial Resistance (AMR),36.5,23,46.4285714285714,92.8571428571429
23,Interactions of global catastrophic risks with each other and systemic risk in general,36.75,24,78.5714285714286,96.4285714285714
24,Recovery of global communication systems from long-term downtime,37,25,78.5714285714286,67.8571428571429
25,A Tipping Point in Novel Entities,37.5,26.5,82.1428571428571,64.2857142857143
26,Unclear future of the ocean carbon sink and heat uptake,37.5,26.5,60.7142857142857,67.8571428571429
27,Political radicalisation and polarization driven by ecological destabilisation and mitigation policies that disregard equity,37.75,28,57.1428571428571,89.2857142857143
28,Collapse of “truth”,38,29.5,50,96.4285714285714
29,Displacement driven by ecological destabilisation and lack of managed relocation policies,38,29.5,60.7142857142857,89.2857142857143
30,Cascading Negative Social Tipping Dynamics driven by ecological destabilisation,38.5,31,64.2857142857143,89.2857142857143
31,Extreme positive feedback on global through stratocumulus cloud break up is not reversible through solar geoengineering,39,32,85.7142857142857,32.1428571428571
32,Global governance failures,39.5,33,60.7142857142857,100
33,"Hot War in Europe, Middle East and Far East cascading into a Nuclear War",39.75,34,35.7142857142857,92.8571428571429
34,Geoengineering to prevent climate tipping points increases tail risk of termination shock,40.5,36,82.1428571428571,78.5714285714286
35,Supply Chains,40.5,36,46.4285714285714,89.2857142857143
36,Populism and Nationalism in the Geopolitical climate,40.5,36,32.1428571428571,96.4285714285714
37,"ICT infrastructure failures, supply chains, and food security",41.5,38.5,71.4285714285714,75
38,A New Limits to Growth: Overacceleration due to AI,41.5,38.5,75,75
39,Climate Change and national/global security,42.25,40,42.8571428571429,96.4285714285714
40,Resource scarcity leading to interstate conflict ,42.5,41,50,92.8571428571429
41,Near-term worst case climate conditions leading to widespread crop failure,42.75,42,67.8571428571429,92.8571428571429
42,Emerging technologies and geopolitical instability,43.75,43.5,67.8571428571429,89.2857142857143
43,A crisis in sensemaking,43.75,43.5,67.8571428571429,85.7142857142857
44,Locked in climate tipping point impacts undermines capacity for climate action: ice sheet collapse and sea level rise,44,45,42.8571428571429,100
45,Unilateral Deployment of Solar Radiation Management,44.25,46,64.2857142857143,67.8571428571429
46,Loss of primary productivity,46,47.5,53.5714285714286,67.8571428571429
47,Artificial Intelligence and Truth Decay,46,47.5,53.5714285714286,92.8571428571429
48,The weakening of the AMOC,46.25,49,50,85.7142857142857
49,Can degrading soil microbiome cause regime shifts in soils?,47,50,89.2857142857143,39.2857142857143
50,Adverse Trends in Information Pollution and Risk of Conflict,47.5,51,32.1428571428571,100
51,Locked in climate tipping point impacts undermines capacity for climate action: Atlantic convection collapse and weather pattern disruption,47.75,52,57.1428571428571,82.1428571428571
52,Societal Tipping points as the main mechanism for societal collapse,48.5,53,53.5714285714286,96.4285714285714
53,The expectation of solar radiation management destroys decarbonisation incentives,49,54,64.2857142857143,75
54,Use of inadequate tools for climate risk assessment and adaptation,51,55.5,71.4285714285714,78.5714285714286
55,Collapse of economic growth,51,55.5,53.5714285714286,92.8571428571429
56,State Capacity Deficits,51.5,57,67.8571428571429,92.8571428571429
57,Combination of natural and technological disasters,52,58.5,57.1428571428571,85.7142857142857
58,Rapid West Antarctic ice sheet collapse + meltwater pulse,52,58.5,46.4285714285714,85.7142857142857
59,Water scarcity after trade stops,52.25,60,78.5714285714286,57.1428571428571
60,Geoengineering wars,53.25,61,71.4285714285714,67.8571428571429
61,Poverty-conflict-environmental degradation tipping points,54,62.5,57.1428571428571,89.2857142857143
62,Labour displacement from artificial intelligence,54,62.5,35.7142857142857,100
63,Anomie (Social Disintegration) driven by ecological destabilisation and response failure,54.5,64.5,82.1428571428571,67.8571428571429
64,Adverse Trends of Growing Social Divisions Within Societies,54.5,64.5,39.2857142857143,100
65,Populism and nationalistic leadership,55.5,66,17.8571428571429,100
