Issue_cat,round_1,round1_variance,round_2,round2_variance,r_squared,P-Value,Variance_change%,Significant (crit: 0.1)
Nuclear Weapons,633.5035714285711,54099.93739417988,801.1111111111109,36148.69281045752,0.11213862275444197,0.02291673288434478,33.1816365200703,True
Climate Environment & Ecology,541.7047619047634,65061.83705188347,461.12962962963,63404.22497846682,0.02339140555235275,0.00031044077770935616,2.547748647328839,True
Government & Politics,574.7214285714279,59292.35683397684,543.5138888888885,59274.45050860721,0.0039399404674883565,0.39728943758844704,0.030200056678078378,False
Food Security,594.8767857142857,48864.835633116876,668.2500000000003,33294.07857142858,0.025698517451641312,0.12688950992396314,31.864953314476345,False
Society,558.8053571428579,61309.136727799225,508.9583333333341,54870.434859154935,0.009778723704988446,0.18170985182799188,10.50202663467745,False
Biosecurity,593.3928571428572,47062.24285714286,579.7777777777773,61611.32063492065,0.0008758747409864931,0.7794413459289411,-30.91454400492859,False
Systemic Risk,547.017857142858,67088.50418275419,441.1666666666678,60715.63380281689,0.039083051072723474,0.007145568976607412,9.49919879354757,True
War & Security,585.4642857142859,63672.18386243386,547.3333333333331,41223.76470588236,0.005476188360023837,0.6250119597303381,35.25624188586362,False
AI,546.5357142857143,79394.85052910054,515.9444444444442,46438.64379084966,0.0027407082250080483,0.7296941132263015,41.50924967882075,False
Epistemics,500.0892857142857,71666.73733766233,592.8611111111111,68245.60873015872,0.02859905290682585,0.10706585252689296,4.773663117081418,False
Economics,454.32500000000005,72136.29083333335,316.5,57538.97058823529,0.061992759823652155,0.09519521877564449,20.23575107129407,True
Space,493.46428571428555,65014.406084656075,594.3888888888887,70466.48692810457,0.03693480362599488,0.2007027262951866,-8.385958084965461,False
